 Supreme Court of the United States,64069,Federal&nbsp;Appellate,"http://supremecourt.gov/",scotus,SCOTUS,1789-09-24,Unknown,Yes,2014-10-30T18:59
Court of Appeals for the First Circuit,35378,Federal&nbsp;Appellate,"http://www.ca1.uscourts.gov/",ca1,1st Cir.,1891-03-03,Unknown,Yes,2019-02-06T11:46
Court of Appeals for the Second Circuit,63070,Federal&nbsp;Appellate,"http://www.ca2.uscourts.gov/",ca2,2d Cir.,1891-03-03,Unknown,Yes,2019-02-06T11:47
Court of Appeals for the Third Circuit,72719,Federal&nbsp;Appellate,"http://www.ca3.uscourts.gov/",ca3,3rd Cir.,1891-03-03,Unknown,Yes,2019-02-06T11:47
Court of Appeals for the Fourth Circuit,132598,Federal&nbsp;Appellate,"http://www.ca4.uscourts.gov/",ca4,4th Cir.,1891-03-03,Unknown,Yes,2019-02-06T11:47
Court of Appeals for the Fifth Circuit,158313,Federal&nbsp;Appellate,"http://www.ca5.uscourts.gov/",ca5,5th Cir.,1891-03-03,Unknown,Yes,2019-02-06T11:47
Court of Appeals for the Sixth Circuit,76262,Federal&nbsp;Appellate,"http://www.ca6.uscourts.gov/",ca6,6th Cir.,1891-03-03,Unknown,Yes,2019-02-06T11:48
Court of Appeals for the Seventh Circuit,63678,Federal&nbsp;Appellate,"http://www.ca7.uscourts.gov/",ca7,7th Cir.,1891-03-03,Unknown,Yes,2019-02-06T11:48
Court of Appeals for the Eighth Circuit,76161,Federal&nbsp;Appellate,"http://www.ca8.uscourts.gov/",ca8,8th Cir.,1891-03-03,Unknown,Yes,2019-02-06T11:48
Court of Appeals for the Ninth Circuit,125426,Federal&nbsp;Appellate,"http://www.ca9.uscourts.gov/",ca9,9th Cir.,1891-03-03,Unknown,Yes,2019-02-06T11:48
Court of Appeals for the Tenth Circuit,54400,Federal&nbsp;Appellate,"http://www.ca10.uscourts.gov/",ca10,10th Cir.,1929-02-28,Unknown,Yes,2019-02-06T11:49
Court of Appeals for the Eleventh Circuit,74740,Federal&nbsp;Appellate,"http://www.ca11.uscourts.gov/",ca11,11th Cir.,1980-10-14,Unknown,Yes,2019-02-06T11:49
Court of Appeals for the D.C. Circuit,26140,Federal&nbsp;Appellate,"http://www.cadc.uscourts.gov/",cadc,D.C. Cir.,1893-02-09,Unknown,Yes,2019-02-06T11:49
Court of Appeals for the Federal Circuit,33380,Federal&nbsp;Appellate,"http://www.cafc.uscourts.gov/",cafc,Fed. Cir.,1982-04-02,Unknown,Yes,2019-02-06T11:50
United States Attorneys General,1342,Federal&nbsp;Special,"https://www.justice.gov/olc/opinions-main",ag,Op. Att’y Gen.,Unknown,Unknown,Yes,2017-01-27T14:35
United States Air Force Court of Criminal Appeals,1166,Federal&nbsp;Special,"http://afcca.law.af.mil/",afcca,A.F.C.C.A.,Unknown,Unknown,Yes,2014-09-18T18:41
Armed Services Board of Contract Appeals,2325,Federal&nbsp;Special,"http://www.asbca.mil/",asbca,A.S.B.C.A.,Unknown,Unknown,Yes,2014-09-18T18:15
Court of Appeals for the Armed Forces,1214,Federal&nbsp;Special,"http://www.armfor.uscourts.gov/",armfor,C.A.A.F.,1951-05-31,Unknown,Yes,2013-08-14T15:18
Army Court of Criminal Appeals,1664,Federal&nbsp;Special,"https://www.jagcnet.army.mil/ACCA",acca,A.C.C.A.,Unknown,Unknown,Yes,2015-01-08T16:24
United States Court of Claims,2196,Federal&nbsp;Special,"http://www.fjc.gov/history/home.nsf/page/courts_special_coc.html",cc,Ct. Cl.,1855-02-24,1992-10-29,Yes,2013-10-17T17:47
United States Court of Federal Claims,12608,Federal&nbsp;Special,"http://www.uscfc.uscourts.gov/",uscfc,Fed. Cl.,1982-04-02,Unknown,Yes,2019-02-06T11:45
Commerce Court,0,Federal&nbsp;Special,"http://www.fjc.gov/history/home.nsf/page/courts_special_com.html",com,Comm. Ct.,1910-01-01,1913-01-01,Yes,2013-08-14T15:19
Court of Customs and Patent Appeals,2776,Federal&nbsp;Special,"http://www.cafc.uscourts.gov/",ccpa,C.C.P.A.,1909-08-05,1982-04-02,Yes,2013-08-14T15:19
United States Customs Court,161,Federal&nbsp;Special,"http://www.fjc.gov/history/home.nsf/page/courts_special_cc_bib.html",cusc,Cust. Ct.,1926-01-01,1980-01-01,Yes,2014-06-18T17:34
United States Tax Court,12311,Federal&nbsp;Special,"http://www.ustaxcourt.gov/",tax,Tax Ct.,Unknown,Unknown,Yes,2013-08-14T15:20
